id,uniq_id,date_time,city_id,city_name,customer_id,first_name,last_name,item_id,item_name,quantity,payment_amount
1,81f4b8fe84644a1747826836c2a58ee2,2022-11-09T00:00:00,1,Ростов,5116,Оксана,Федорова,3,Устройство для нагревания табака Трубка Мира,4,2000
2,5037e581ff6ab9ded9ee8b47d8e4a0b0,2022-11-09T00:00:00,1,Ростов,2316,Ольга,Волкова,11,Хлеб ржаной,3,60
3,8f933bea90b78a9454f1c0c8843690a4,2022-11-09T00:00:00,0,Москва,8317,Снежанна,Волкова,2,Молоко 5%,4,600
4,4b4ad5bea4f30d2ee2718e7e51154bab,2022-11-09T00:00:00,1,Ростов,2512,Ольга,Лебедева,8,Лампочка LED,2,600
5,2ef66c16692cc09708ed1f8f5b7e2c37,2022-11-09T00:00:00,0,Москва,6216,Елизавета,Морозова,7,Средство для мытья посуды,5,1000
6,b2e83c1efdeb24dade2a5cdc5322454d,2022-11-09T00:00:00,1,Ростов,8007,Геннадий,Иванов,1,Молоко 3%,1,120
7,9f56d56cb854e49797f908eff46cd96e,2022-11-09T00:00:00,0,Москва,6316,Елизавета,Волкова,6,Яблоко,4,560
8,67928356c6a476777baf12905796994a,2022-11-09T00:00:00,1,Ростов,2301,Петр,Смирнов,11,Хлеб ржаной,3,60
9,4a57b6146401ce873c7526a6cc9693b2,2022-11-09T00:00:00,1,Ростов,8507,Геннадий,Попов,3,Устройство для нагревания табака Трубка Мира,2,1000
10,4b3b9bb6e45a552b97c660d75caf42a1,2022-11-09T00:00:00,1,Ростов,8614,Снежанна,Егорова,0,Молоко 1%,1,100
11,dca294654b0ae4dbd2d75f0e5d0461c9,2022-11-09T00:00:00,2,Ярославль,2510,Ольга,Лебедева,10,Томаты,2,100
12,f29e9fb25430cda6d9ebc61512be0e82,2022-11-09T00:00:00,2,Ярославль,9103,Эдуард,Петров,4,Сахар песок,3,150
13,95740d7f5c7e846a6c403b92d7aa42ea,2022-11-09T00:00:00,2,Ярославль,3711,Светлана,Павлова,8,Лампочка LED,5,1500
14,8f6e953fa28d3a7e2133ada9c2f7ca26,2022-11-09T00:00:00,0,Москва,2212,Ольга,Морозова,1,Молоко 3%,5,600
15,1c1072db56b5ac8dd873e3e4ff61da0a,2022-11-09T00:00:00,1,Ростов,5315,Оксана,Волкова,6,Яблоко,5,700
16,26a89149e7e9007e3a49eb76e7036f93,2022-11-09T00:00:00,2,Ярославль,2406,Петр,Кузнецов,1,Молоко 3%,4,480
17,8edb340730e0b0d11c20680687218e5e,2022-11-09T00:00:00,0,Москва,1001,Евгений,Иванов,4,Сахар песок,1,50
18,bde101b097ecb98cd9328309dd734f3b,2022-11-09T00:00:00,0,Москва,5319,Оксана,Волкова,6,Яблоко,5,700
19,bf8ff2fb4b54beeb7196bc84edc2cc7c,2022-11-09T00:00:00,2,Ярославль,7305,Константин,Смирнов,4,Сахар песок,5,250
20,2fe4f1f9a033454f1a7368b69016e15c,2022-11-09T00:00:00,1,Ростов,505,Иван,Попов,11,Хлеб ржаной,4,80
21,6002b99a29bf30b955647f23042203c8,2022-11-09T00:00:00,2,Ярославль,3710,Светлана,Павлова,11,Хлеб ржаной,3,60
22,a79dccd45838eac8d43ef1b987f879ec,2022-11-09T00:00:00,2,Ярославль,3508,Олег,Попов,2,Молоко 5%,2,300
23,0c8aa517bcfec456893664131468fa1c,2022-11-09T00:00:00,1,Ростов,7013,Анна,Великая,7,Средство для мытья посуды,3,600
24,b1a8972ba69735a0c415f588cf2e6f82,2022-11-09T00:00:00,1,Ростов,2303,Петр,Смирнов,8,Лампочка LED,5,1500
25,01ada249fd25e3e5ffcb53f7eddfffeb,2022-11-09T00:00:00,1,Ростов,3504,Олег,Попов,2,Молоко 5%,1,150
26,9a09e73089c5961ca28a3491683231dc,2022-11-09T00:00:00,0,Москва,7107,Константин,Петров,1,Молоко 3%,4,480
27,f6a3b73174dedad88a82e65aea2e4cef,2022-11-09T00:00:00,0,Москва,1706,Евгений,Соколов,6,Яблоко,5,700
28,b2aab51458223d01bb2a62f0c2613390,2022-11-09T00:00:00,2,Ярославль,6016,Елизавета,Великая,4,Сахар песок,3,150
29,87c35591cfe01f8aea3e8a27afd2bacd,2022-11-09T00:00:00,2,Ярославль,1208,Евгений,Сидоров,5,Яблоко молодильное,4,1600
30,61def907be2cb54519a69a8c058871fd,2022-11-09T00:00:00,0,Москва,1414,Евгения,Алексеева,8,Лампочка LED,2,600
31,795ddc355df5c81108bea2d15b3fec8a,2022-11-09T00:00:00,1,Ростов,5304,Александр,Смирнов,6,Яблоко,1,140
32,6cc55cada64e34144430b9eb8ddbfa73,2022-11-09T00:00:00,1,Ростов,1419,Евгения,Алексеева,1,Молоко 3%,4,480
