id,uniq_id,date_time,city_id,city_name,customer_id,first_name,last_name,item_id,item_name,quantity,payment_amount,status
1,a8048ee58ff8dd373aa449a7783ca637,2022-12-05T00:00:00,1,Ростов,1600,Евгений,Васильев,11,Хлеб ржаной,3,60,shipped
2,0cf92e7481d98f37e0c2c42da6465fb5,2022-12-05T00:00:00,1,Ростов,5509,Александр,Попов,2,Молоко 5%,2,300,shipped
3,69d0144ff1a0ee1394fdd4952ce7cb56,2022-12-05T00:00:00,2,Ярославль,7503,Константин,Попов,6,Яблоко,5,700,shipped
4,858b954c320aa4fa97c87131c187698d,2022-12-05T00:00:00,1,Ростов,7903,Константин,Новиков,11,Хлеб ржаной,4,80,shipped
5,2a6a1773a545d3b6af21992a2ffccc6f,2022-12-05T00:00:00,0,Москва,5900,Александр,Новиков,7,Средство для мытья посуды,3,600,shipped
6,a5a962e2daaa5e4e7a2bfe8df99b32d5,2022-12-05T00:00:00,2,Ярославль,300,Иван,Смирнов,6,Яблоко,4,560,shipped
7,774dc67bb8e4a47b3b344e8372aa4a60,2022-12-05T00:00:00,2,Ярославль,1804,Евгений,Михайлов,1,Молоко 3%,2,240,shipped
8,5e0902326f500fb89710719f53f43bd6,2022-12-05T00:00:00,1,Ростов,200,Иван,Сидоров,6,Яблоко,2,280,shipped
9,be06f65ab580ab70d7e315bcb0cf7a22,2022-12-05T00:00:00,0,Москва,8817,Снежанна,Козлова,8,Лампочка LED,1,300,shipped
10,d7fdd8cf40c5daefc49a5ae0e11e8c6f,2022-12-05T00:00:00,2,Ярославль,913,Александра,Орлова,0,Молоко 1%,3,300,shipped
11,93ac892cce4e8908481dda4376f6f85c,2022-12-05T00:00:00,0,Москва,7604,Константин,Васильев,1,Молоко 3%,1,120,shipped
12,d715af6f448fa6e52a255f4134683582,2022-12-05T00:00:00,0,Москва,604,Иван,Васильев,11,Хлеб ржаной,4,80,shipped
13,124734b5a44851b36a92292011356f51,2022-12-05T00:00:00,1,Ростов,8110,Снежанна,Федорова,0,Молоко 1%,1,100,shipped
14,7ebba841bf0246650a45da4c289f5f1d,2022-12-05T00:00:00,0,Москва,9411,Надежда,Алексеева,9,Ручка шариковая,1,45,shipped
15,2a4805dbe7aba61e6f8d108cf623d63c,2022-12-05T00:00:00,2,Ярославль,4303,Сергей,Смирнов,0,Молоко 1%,4,400,shipped
16,f94fbfad760a8da19a75c6a17ff559b6,2022-12-05T00:00:00,2,Ярославль,7017,Анна,Великая,8,Лампочка LED,1,300,shipped
17,f7f142384734df4cc19c7f9c1f1abdef,2022-12-05T00:00:00,2,Ярославль,2406,Петр,Кузнецов,7,Средство для мытья посуды,4,800,shipped
18,fd5b5564322dc9c84f0ae3ff874d7817,2022-12-05T00:00:00,2,Ярославль,2909,Петр,Новиков,11,Хлеб ржаной,5,100,shipped
19,d824bbdb4fc2fbeb6beb5280fdee8240,2022-12-05T00:00:00,1,Ростов,9918,Надежда,Орлова,11,Хлеб ржаной,5,100,shipped
20,86c564596eef558180dd56e61f2aa76f,2022-12-05T00:00:00,0,Москва,1302,Евгений,Смирнов,2,Молоко 5%,5,750,shipped
21,8445cb5c5d3233a011befe22b81fef08,2022-12-05T00:00:00,2,Ярославль,3100,Олег,Петров,10,Томаты,5,250,shipped
22,9b4b7420ac508cacf926ae0777670167,2022-12-05T00:00:00,0,Москва,7905,Константин,Новиков,1,Молоко 3%,3,360,shipped
23,dce45956ff43ef67393c74c785fb9c7c,2022-12-05T00:00:00,2,Ярославль,6614,Елизавета,Егорова,8,Лампочка LED,5,1500,shipped
24,66c1907d685916236c9ddd8bc436ca53,2022-12-05T00:00:00,2,Ярославль,6808,Алексей,Михайлов,8,Лампочка LED,2,600,shipped
25,24f489ecca83ae96ba39583b4916789b,2022-12-05T00:00:00,0,Москва,2119,Ольга,Федорова,1,Молоко 3%,1,120,shipped
26,57a70a5d906b0754a10081aeb3534e0c,2022-12-05T00:00:00,2,Ярославль,2807,Петр,Михайлов,11,Хлеб ржаной,2,40,shipped
27,5bae44b74ee7fb152ce5e59448917361,2022-12-05T00:00:00,2,Ярославль,9718,Надежда,Павлова,7,Средство для мытья посуды,3,600,shipped
28,c5b71bb1eb0bb73b4451fc60cd58eabb,2022-12-05T00:00:00,0,Москва,2400,Петр,Кузнецов,7,Средство для мытья посуды,1,200,shipped
29,e4bd0e8edff2c7634a2939270d66b4d2,2022-12-05T00:00:00,1,Ростов,2216,Ольга,Морозова,6,Яблоко,3,420,shipped
30,c9cf4e621a14887ea45094c1d437f418,2022-12-05T00:00:00,0,Москва,310,Александра,Волкова,10,Томаты,5,250,shipped
31,54afd80448e8a1f265c09bfc847a3dc2,2022-12-05T00:00:00,1,Ростов,715,Александра,Павлова,6,Яблоко,3,420,shipped
32,12b39dc08ae5c9060c2445a1f2f9f9e4,2022-12-05T00:00:00,1,Ростов,1606,Евгений,Васильев,11,Хлеб ржаной,1,20,shipped
33,94c664966b4d68fc90b688bc86e457a3,2022-12-05T00:00:00,2,Ярославль,1407,Евгений,Кузнецов,4,Сахар песок,5,250,shipped
